,STATE,STNAME,COUNTY,CTYNAME,YEAR,AGEGRP,TOT_MALE,TOT_FEMALE,TOT_POP,Year
191,1,Alabama,1,Autauga County,11,1,1728,1636,3364,2018
192,1,Alabama,1,Autauga County,11,2,1779,1644,3423,2018
193,1,Alabama,1,Autauga County,11,3,1977,1905,3882,2018
194,1,Alabama,1,Autauga County,11,4,1913,1842,3755,2018
195,1,Alabama,1,Autauga County,11,5,1629,1544,3173,2018
196,1,Alabama,1,Autauga County,11,6,1830,1875,3705,2018
197,1,Alabama,1,Autauga County,11,7,1659,1802,3461,2018
198,1,Alabama,1,Autauga County,11,8,1767,1861,3628,2018
199,1,Alabama,1,Autauga County,11,9,1717,1899,3616,2018
200,1,Alabama,1,Autauga County,11,10,1912,2054,3966,2018
201,1,Alabama,1,Autauga County,11,11,1845,1966,3811,2018
202,1,Alabama,1,Autauga County,11,12,1956,1971,3927,2018
203,1,Alabama,1,Autauga County,11,13,1496,1741,3237,2018
204,1,Alabama,1,Autauga County,11,14,1228,1361,2589,2018
205,1,Alabama,1,Autauga County,11,15,1019,1292,2311,2018
206,1,Alabama,1,Autauga County,11,16,724,1015,1739,2018
207,1,Alabama,1,Autauga County,11,17,487,656,1143,2018
208,1,Alabama,1,Autauga County,11,18,329,542,871,2018
400,1,Alabama,3,Baldwin County,11,1,6135,5820,11955,2018
401,1,Alabama,3,Baldwin County,11,2,6519,6283,12802,2018
402,1,Alabama,3,Baldwin County,11,3,7049,6932,13981,2018
403,1,Alabama,3,Baldwin County,11,4,6398,6534,12932,2018
404,1,Alabama,3,Baldwin County,11,5,5632,5476,11108,2018
405,1,Alabama,3,Baldwin County,11,6,6145,6326,12471,2018
406,1,Alabama,3,Baldwin County,11,7,5941,6116,12057,2018
407,1,Alabama,3,Baldwin County,11,8,6318,6838,13156,2018
408,1,Alabama,3,Baldwin County,11,9,6261,6616,12877,2018
409,1,Alabama,3,Baldwin County,11,10,7038,7423,14461,2018
410,1,Alabama,3,Baldwin County,11,11,6817,7425,14242,2018
411,1,Alabama,3,Baldwin County,11,12,7416,8328,15744,2018
412,1,Alabama,3,Baldwin County,11,13,7307,8358,15665,2018
413,1,Alabama,3,Baldwin County,11,14,6622,7645,14267,2018
414,1,Alabama,3,Baldwin County,11,15,5974,6497,12471,2018
415,1,Alabama,3,Baldwin County,11,16,3946,4519,8465,2018
416,1,Alabama,3,Baldwin County,11,17,2384,2680,5064,2018
417,1,Alabama,3,Baldwin County,11,18,1755,2549,4304,2018
609,1,Alabama,5,Barbour County,11,1,656,628,1284,2018
610,1,Alabama,5,Barbour County,11,2,717,731,1448,2018
611,1,Alabama,5,Barbour County,11,3,775,734,1509,2018
612,1,Alabama,5,Barbour County,11,4,759,692,1451,2018
613,1,Alabama,5,Barbour County,11,5,871,601,1472,2018
614,1,Alabama,5,Barbour County,11,6,1133,663,1796,2018
615,1,Alabama,5,Barbour County,11,7,992,678,1670,2018
616,1,Alabama,5,Barbour County,11,8,923,608,1531,2018
617,1,Alabama,5,Barbour County,11,9,867,583,1450,2018
618,1,Alabama,5,Barbour County,11,10,929,695,1624,2018
619,1,Alabama,5,Barbour County,11,11,847,756,1603,2018
620,1,Alabama,5,Barbour County,11,12,826,849,1675,2018
621,1,Alabama,5,Barbour County,11,13,749,787,1536,2018
622,1,Alabama,5,Barbour County,11,14,701,839,1540,2018
623,1,Alabama,5,Barbour County,11,15,608,729,1337,2018
624,1,Alabama,5,Barbour County,11,16,401,506,907,2018
625,1,Alabama,5,Barbour County,11,17,231,345,576,2018
626,1,Alabama,5,Barbour County,11,18,148,324,472,2018
818,1,Alabama,7,Bibb County,11,1,656,629,1285,2018
819,1,Alabama,7,Bibb County,11,2,610,561,1171,2018
820,1,Alabama,7,Bibb County,11,3,711,615,1326,2018
821,1,Alabama,7,Bibb County,11,4,683,587,1270,2018
822,1,Alabama,7,Bibb County,11,5,767,536,1303,2018
823,1,Alabama,7,Bibb County,11,6,994,732,1726,2018
824,1,Alabama,7,Bibb County,11,7,960,641,1601,2018
825,1,Alabama,7,Bibb County,11,8,912,600,1512,2018
826,1,Alabama,7,Bibb County,11,9,796,644,1440,2018
827,1,Alabama,7,Bibb County,11,10,886,712,1598,2018
828,1,Alabama,7,Bibb County,11,11,847,734,1581,2018
829,1,Alabama,7,Bibb County,11,12,801,733,1534,2018
830,1,Alabama,7,Bibb County,11,13,671,692,1363,2018
831,1,Alabama,7,Bibb County,11,14,576,606,1182,2018
832,1,Alabama,7,Bibb County,11,15,455,537,992,2018
833,1,Alabama,7,Bibb County,11,16,323,408,731,2018
834,1,Alabama,7,Bibb County,11,17,165,257,422,2018
835,1,Alabama,7,Bibb County,11,18,108,255,363,2018
1027,1,Alabama,9,Blount County,11,1,1723,1737,3460,2018
1028,1,Alabama,9,Blount County,11,2,1838,1797,3635,2018
1029,1,Alabama,9,Blount County,11,3,1923,1979,3902,2018
1030,1,Alabama,9,Blount County,11,4,1882,1786,3668,2018
1031,1,Alabama,9,Blount County,11,5,1680,1498,3178,2018
1032,1,Alabama,9,Blount County,11,6,1791,1773,3564,2018
1033,1,Alabama,9,Blount County,11,7,1687,1683,3370,2018
1034,1,Alabama,9,Blount County,11,8,1775,1739,3514,2018
1035,1,Alabama,9,Blount County,11,9,1739,1814,3553,2018
1036,1,Alabama,9,Blount County,11,10,1969,1952,3921,2018
1037,1,Alabama,9,Blount County,11,11,1923,1974,3897,2018
1038,1,Alabama,9,Blount County,11,12,2034,1913,3947,2018
1039,1,Alabama,9,Blount County,11,13,1785,1898,3683,2018
1040,1,Alabama,9,Blount County,11,14,1564,1718,3282,2018
1041,1,Alabama,9,Blount County,11,15,1329,1632,2961,2018
1042,1,Alabama,9,Blount County,11,16,899,1071,1970,2018
1043,1,Alabama,9,Blount County,11,17,588,715,1303,2018
1044,1,Alabama,9,Blount County,11,18,371,661,1032,2018
1236,1,Alabama,11,Bullock County,11,1,287,313,600,2018
1237,1,Alabama,11,Bullock County,11,2,303,295,598,2018
1238,1,Alabama,11,Bullock County,11,3,340,261,601,2018
1239,1,Alabama,11,Bullock County,11,4,268,261,529,2018
1240,1,Alabama,11,Bullock County,11,5,368,258,626,2018
1241,1,Alabama,11,Bullock County,11,6,486,283,769,2018
1242,1,Alabama,11,Bullock County,11,7,474,283,757,2018
1243,1,Alabama,11,Bullock County,11,8,419,270,689,2018
1244,1,Alabama,11,Bullock County,11,9,375,245,620,2018
1245,1,Alabama,11,Bullock County,11,10,406,248,654,2018
1246,1,Alabama,11,Bullock County,11,11,335,269,604,2018
1247,1,Alabama,11,Bullock County,11,12,393,359,752,2018
1248,1,Alabama,11,Bullock County,11,13,357,321,678,2018
1249,1,Alabama,11,Bullock County,11,14,264,277,541,2018
1250,1,Alabama,11,Bullock County,11,15,176,231,407,2018
1251,1,Alabama,11,Bullock County,11,16,123,173,296,2018
1252,1,Alabama,11,Bullock County,11,17,100,133,233,2018
1253,1,Alabama,11,Bullock County,11,18,53,131,184,2018
1445,1,Alabama,13,Butler County,11,1,564,555,1119,2018
1446,1,Alabama,13,Butler County,11,2,658,574,1232,2018
1447,1,Alabama,13,Butler County,11,3,695,593,1288,2018
1448,1,Alabama,13,Butler County,11,4,626,547,1173,2018
1449,1,Alabama,13,Butler County,11,5,554,536,1090,2018
1450,1,Alabama,13,Butler County,11,6,593,603,1196,2018
1451,1,Alabama,13,Butler County,11,7,453,630,1083,2018
1452,1,Alabama,13,Butler County,11,8,584,670,1254,2018
1453,1,Alabama,13,Butler County,11,9,491,645,1136,2018
1454,1,Alabama,13,Butler County,11,10,541,641,1182,2018
1455,1,Alabama,13,Butler County,11,11,495,636,1131,2018
1456,1,Alabama,13,Butler County,11,12,597,763,1360,2018
1457,1,Alabama,13,Butler County,11,13,680,761,1441,2018
1458,1,Alabama,13,Butler County,11,14,560,682,1242,2018
1459,1,Alabama,13,Butler County,11,15,457,501,958,2018
1460,1,Alabama,13,Butler County,11,16,282,420,702,2018
1461,1,Alabama,13,Butler County,11,17,198,310,508,2018
1462,1,Alabama,13,Butler County,11,18,137,448,585,2018
1654,1,Alabama,15,Calhoun County,11,1,3339,3241,6580,2018
1655,1,Alabama,15,Calhoun County,11,2,3330,3231,6561,2018
1656,1,Alabama,15,Calhoun County,11,3,3730,3416,7146,2018
1657,1,Alabama,15,Calhoun County,11,4,3768,3723,7491,2018
1658,1,Alabama,15,Calhoun County,11,5,3635,3651,7286,2018
1659,1,Alabama,15,Calhoun County,11,6,4050,4127,8177,2018
1660,1,Alabama,15,Calhoun County,11,7,3329,3553,6882,2018
1661,1,Alabama,15,Calhoun County,11,8,3376,3607,6983,2018
1662,1,Alabama,15,Calhoun County,11,9,3240,3423,6663,2018
1663,1,Alabama,15,Calhoun County,11,10,3419,3645,7064,2018
1664,1,Alabama,15,Calhoun County,11,11,3545,3694,7239,2018
1665,1,Alabama,15,Calhoun County,11,12,3838,4248,8086,2018
1666,1,Alabama,15,Calhoun County,11,13,3730,4142,7872,2018
1667,1,Alabama,15,Calhoun County,11,14,3054,3715,6769,2018
1668,1,Alabama,15,Calhoun County,11,15,2405,2902,5307,2018
1669,1,Alabama,15,Calhoun County,11,16,1579,2093,3672,2018
1670,1,Alabama,15,Calhoun County,11,17,916,1472,2388,2018
1671,1,Alabama,15,Calhoun County,11,18,631,1480,2111,2018
1863,1,Alabama,17,Chambers County,11,1,1011,918,1929,2018
1864,1,Alabama,17,Chambers County,11,2,948,992,1940,2018
1865,1,Alabama,17,Chambers County,11,3,957,969,1926,2018
1866,1,Alabama,17,Chambers County,11,4,1022,864,1886,2018
1867,1,Alabama,17,Chambers County,11,5,995,1012,2007,2018
1868,1,Alabama,17,Chambers County,11,6,1181,1192,2373,2018
1869,1,Alabama,17,Chambers County,11,7,878,980,1858,2018
1870,1,Alabama,17,Chambers County,11,8,909,967,1876,2018
1871,1,Alabama,17,Chambers County,11,9,906,993,1899,2018
1872,1,Alabama,17,Chambers County,11,10,1054,1125,2179,2018
1873,1,Alabama,17,Chambers County,11,11,1090,1140,2230,2018
1874,1,Alabama,17,Chambers County,11,12,1215,1316,2531,2018
1875,1,Alabama,17,Chambers County,11,13,1139,1280,2419,2018
1876,1,Alabama,17,Chambers County,11,14,963,1110,2073,2018
1877,1,Alabama,17,Chambers County,11,15,791,976,1767,2018
1878,1,Alabama,17,Chambers County,11,16,519,686,1205,2018
1879,1,Alabama,17,Chambers County,11,17,317,451,768,2018
1880,1,Alabama,17,Chambers County,11,18,198,551,749,2018
2072,1,Alabama,19,Cherokee County,11,1,608,598,1206,2018
2073,1,Alabama,19,Cherokee County,11,2,712,636,1348,2018
2074,1,Alabama,19,Cherokee County,11,3,750,732,1482,2018
2075,1,Alabama,19,Cherokee County,11,4,746,753,1499,2018
2076,1,Alabama,19,Cherokee County,11,5,685,619,1304,2018
2077,1,Alabama,19,Cherokee County,11,6,821,727,1548,2018
2078,1,Alabama,19,Cherokee County,11,7,575,631,1206,2018
2079,1,Alabama,19,Cherokee County,11,8,635,663,1298,2018
2080,1,Alabama,19,Cherokee County,11,9,731,740,1471,2018
2081,1,Alabama,19,Cherokee County,11,10,863,870,1733,2018
2082,1,Alabama,19,Cherokee County,11,11,980,877,1857,2018
2083,1,Alabama,19,Cherokee County,11,12,991,1025,2016,2018
2084,1,Alabama,19,Cherokee County,11,13,1010,1074,2084,2018
2085,1,Alabama,19,Cherokee County,11,14,935,927,1862,2018
2086,1,Alabama,19,Cherokee County,11,15,799,884,1683,2018
2087,1,Alabama,19,Cherokee County,11,16,535,617,1152,2018
2088,1,Alabama,19,Cherokee County,11,17,336,411,747,2018
2089,1,Alabama,19,Cherokee County,11,18,184,352,536,2018
2281,1,Alabama,21,Chilton County,11,1,1373,1357,2730,2018
2282,1,Alabama,21,Chilton County,11,2,1455,1467,2922,2018
2283,1,Alabama,21,Chilton County,11,3,1463,1508,2971,2018
2284,1,Alabama,21,Chilton County,11,4,1460,1387,2847,2018
2285,1,Alabama,21,Chilton County,11,5,1292,1257,2549,2018
2286,1,Alabama,21,Chilton County,11,6,1543,1474,3017,2018
2287,1,Alabama,21,Chilton County,11,7,1273,1281,2554,2018
2288,1,Alabama,21,Chilton County,11,8,1308,1371,2679,2018
2289,1,Alabama,21,Chilton County,11,9,1341,1435,2776,2018
2290,1,Alabama,21,Chilton County,11,10,1498,1381,2879,2018
2291,1,Alabama,21,Chilton County,11,11,1448,1486,2934,2018
2292,1,Alabama,21,Chilton County,11,12,1492,1506,2998,2018
2293,1,Alabama,21,Chilton County,11,13,1352,1534,2886,2018
2294,1,Alabama,21,Chilton County,11,14,1174,1299,2473,2018
2295,1,Alabama,21,Chilton County,11,15,919,1069,1988,2018
2296,1,Alabama,21,Chilton County,11,16,625,721,1346,2018
2297,1,Alabama,21,Chilton County,11,17,355,480,835,2018
2298,1,Alabama,21,Chilton County,11,18,297,472,769,2018
2490,1,Alabama,23,Choctaw County,11,1,338,335,673,2018
2491,1,Alabama,23,Choctaw County,11,2,325,326,651,2018
2492,1,Alabama,23,Choctaw County,11,3,406,334,740,2018
2493,1,Alabama,23,Choctaw County,11,4,384,365,749,2018
2494,1,Alabama,23,Choctaw County,11,5,336,358,694,2018
2495,1,Alabama,23,Choctaw County,11,6,335,373,708,2018
2496,1,Alabama,23,Choctaw County,11,7,286,310,596,2018
2497,1,Alabama,23,Choctaw County,11,8,319,374,693,2018
2498,1,Alabama,23,Choctaw County,11,9,322,367,689,2018
2499,1,Alabama,23,Choctaw County,11,10,365,424,789,2018
2500,1,Alabama,23,Choctaw County,11,11,421,473,894,2018
2501,1,Alabama,23,Choctaw County,11,12,503,550,1053,2018
2502,1,Alabama,23,Choctaw County,11,13,443,516,959,2018
2503,1,Alabama,23,Choctaw County,11,14,383,482,865,2018
2504,1,Alabama,23,Choctaw County,11,15,348,455,803,2018
2505,1,Alabama,23,Choctaw County,11,16,274,294,568,2018
2506,1,Alabama,23,Choctaw County,11,17,150,214,364,2018
2507,1,Alabama,23,Choctaw County,11,18,132,221,353,2018
2699,1,Alabama,25,Clarke County,11,1,689,697,1386,2018
2700,1,Alabama,25,Clarke County,11,2,675,643,1318,2018
2701,1,Alabama,25,Clarke County,11,3,749,722,1471,2018
2702,1,Alabama,25,Clarke County,11,4,781,793,1574,2018
2703,1,Alabama,25,Clarke County,11,5,715,718,1433,2018
2704,1,Alabama,25,Clarke County,11,6,712,766,1478,2018
2705,1,Alabama,25,Clarke County,11,7,551,599,1150,2018
2706,1,Alabama,25,Clarke County,11,8,655,752,1407,2018
2707,1,Alabama,25,Clarke County,11,9,632,749,1381,2018
2708,1,Alabama,25,Clarke County,11,10,702,788,1490,2018
2709,1,Alabama,25,Clarke County,11,11,763,867,1630,2018
2710,1,Alabama,25,Clarke County,11,12,844,945,1789,2018
2711,1,Alabama,25,Clarke County,11,13,773,887,1660,2018
2712,1,Alabama,25,Clarke County,11,14,642,694,1336,2018
2713,1,Alabama,25,Clarke County,11,15,583,678,1261,2018
2714,1,Alabama,25,Clarke County,11,16,418,541,959,2018
2715,1,Alabama,25,Clarke County,11,17,255,350,605,2018
2716,1,Alabama,25,Clarke County,11,18,189,403,592,2018
2908,1,Alabama,27,Clay County,11,1,362,325,687,2018
2909,1,Alabama,27,Clay County,11,2,376,357,733,2018
2910,1,Alabama,27,Clay County,11,3,403,366,769,2018
2911,1,Alabama,27,Clay County,11,4,425,370,795,2018
2912,1,Alabama,27,Clay County,11,5,403,377,780,2018
2913,1,Alabama,27,Clay County,11,6,363,400,763,2018
2914,1,Alabama,27,Clay County,11,7,320,363,683,2018
2915,1,Alabama,27,Clay County,11,8,381,391,772,2018
2916,1,Alabama,27,Clay County,11,9,350,384,734,2018
2917,1,Alabama,27,Clay County,11,10,435,435,870,2018
2918,1,Alabama,27,Clay County,11,11,486,493,979,2018
2919,1,Alabama,27,Clay County,11,12,500,512,1012,2018
2920,1,Alabama,27,Clay County,11,13,457,490,947,2018
2921,1,Alabama,27,Clay County,11,14,411,441,852,2018
2922,1,Alabama,27,Clay County,11,15,320,353,673,2018
2923,1,Alabama,27,Clay County,11,16,236,305,541,2018
2924,1,Alabama,27,Clay County,11,17,144,229,373,2018
2925,1,Alabama,27,Clay County,11,18,120,192,312,2018
3117,1,Alabama,29,Cleburne County,11,1,453,441,894,2018
3118,1,Alabama,29,Cleburne County,11,2,483,452,935,2018
3119,1,Alabama,29,Cleburne County,11,3,496,491,987,2018
3120,1,Alabama,29,Cleburne County,11,4,534,384,918,2018
3121,1,Alabama,29,Cleburne County,11,5,390,354,744,2018
3122,1,Alabama,29,Cleburne County,11,6,482,461,943,2018
3123,1,Alabama,29,Cleburne County,11,7,384,423,807,2018
3124,1,Alabama,29,Cleburne County,11,8,422,436,858,2018
3125,1,Alabama,29,Cleburne County,11,9,450,444,894,2018
3126,1,Alabama,29,Cleburne County,11,10,519,517,1036,2018
3127,1,Alabama,29,Cleburne County,11,11,519,521,1040,2018
3128,1,Alabama,29,Cleburne County,11,12,541,532,1073,2018
3129,1,Alabama,29,Cleburne County,11,13,431,512,943,2018
3130,1,Alabama,29,Cleburne County,11,14,448,460,908,2018
3131,1,Alabama,29,Cleburne County,11,15,357,427,784,2018
3132,1,Alabama,29,Cleburne County,11,16,283,291,574,2018
3133,1,Alabama,29,Cleburne County,11,17,122,188,310,2018
3134,1,Alabama,29,Cleburne County,11,18,107,232,339,2018
3326,1,Alabama,31,Coffee County,11,1,1657,1554,3211,2018
3327,1,Alabama,31,Coffee County,11,2,1719,1675,3394,2018
3328,1,Alabama,31,Coffee County,11,3,1820,1678,3498,2018
3329,1,Alabama,31,Coffee County,11,4,1734,1596,3330,2018
3330,1,Alabama,31,Coffee County,11,5,1514,1471,2985,2018
3331,1,Alabama,31,Coffee County,11,6,1671,1656,3327,2018
3332,1,Alabama,31,Coffee County,11,7,1699,1571,3270,2018
3333,1,Alabama,31,Coffee County,11,8,1591,1725,3316,2018
3334,1,Alabama,31,Coffee County,11,9,1685,1659,3344,2018
3335,1,Alabama,31,Coffee County,11,10,1752,1800,3552,2018
3336,1,Alabama,31,Coffee County,11,11,1682,1691,3373,2018
3337,1,Alabama,31,Coffee County,11,12,1636,1653,3289,2018
3338,1,Alabama,31,Coffee County,11,13,1515,1704,3219,2018
3339,1,Alabama,31,Coffee County,11,14,1293,1446,2739,2018
3340,1,Alabama,31,Coffee County,11,15,1134,1305,2439,2018
3341,1,Alabama,31,Coffee County,11,16,637,887,1524,2018
3342,1,Alabama,31,Coffee County,11,17,466,663,1129,2018
3343,1,Alabama,31,Coffee County,11,18,316,654,970,2018
3535,1,Alabama,33,Colbert County,11,1,1549,1559,3108,2018
3536,1,Alabama,33,Colbert County,11,2,1579,1561,3140,2018
3537,1,Alabama,33,Colbert County,11,3,1642,1557,3199,2018
3538,1,Alabama,33,Colbert County,11,4,1567,1552,3119,2018
3539,1,Alabama,33,Colbert County,11,5,1554,1559,3113,2018
3540,1,Alabama,33,Colbert County,11,6,1862,1836,3698,2018
3541,1,Alabama,33,Colbert County,11,7,1544,1695,3239,2018
3542,1,Alabama,33,Colbert County,11,8,1553,1632,3185,2018
3543,1,Alabama,33,Colbert County,11,9,1526,1610,3136,2018
3544,1,Alabama,33,Colbert County,11,10,1680,1850,3530,2018
3545,1,Alabama,33,Colbert County,11,11,1755,1881,3636,2018
3546,1,Alabama,33,Colbert County,11,12,1837,2035,3872,2018
3547,1,Alabama,33,Colbert County,11,13,1864,2009,3873,2018
3548,1,Alabama,33,Colbert County,11,14,1599,1818,3417,2018
3549,1,Alabama,33,Colbert County,11,15,1196,1522,2718,2018
3550,1,Alabama,33,Colbert County,11,16,912,1217,2129,2018
3551,1,Alabama,33,Colbert County,11,17,548,816,1364,2018
3552,1,Alabama,33,Colbert County,11,18,492,794,1286,2018
3744,1,Alabama,35,Conecuh County,11,1,312,340,652,2018
3745,1,Alabama,35,Conecuh County,11,2,343,372,715,2018
3746,1,Alabama,35,Conecuh County,11,3,382,344,726,2018
3747,1,Alabama,35,Conecuh County,11,4,354,354,708,2018
3748,1,Alabama,35,Conecuh County,11,5,344,343,687,2018
3749,1,Alabama,35,Conecuh County,11,6,364,359,723,2018
3750,1,Alabama,35,Conecuh County,11,7,305,329,634,2018
3751,1,Alabama,35,Conecuh County,11,8,288,338,626,2018
3752,1,Alabama,35,Conecuh County,11,9,293,346,639,2018
3753,1,Alabama,35,Conecuh County,11,10,330,366,696,2018
3754,1,Alabama,35,Conecuh County,11,11,361,431,792,2018
3755,1,Alabama,35,Conecuh County,11,12,478,484,962,2018
3756,1,Alabama,35,Conecuh County,11,13,465,490,955,2018
3757,1,Alabama,35,Conecuh County,11,14,359,412,771,2018
3758,1,Alabama,35,Conecuh County,11,15,372,410,782,2018
3759,1,Alabama,35,Conecuh County,11,16,240,286,526,2018
3760,1,Alabama,35,Conecuh County,11,17,154,204,358,2018
3761,1,Alabama,35,Conecuh County,11,18,137,188,325,2018
3953,1,Alabama,37,Coosa County,11,1,264,224,488,2018
3954,1,Alabama,37,Coosa County,11,2,249,191,440,2018
3955,1,Alabama,37,Coosa County,11,3,247,272,519,2018
3956,1,Alabama,37,Coosa County,11,4,263,241,504,2018
3957,1,Alabama,37,Coosa County,11,5,304,253,557,2018
3958,1,Alabama,37,Coosa County,11,6,333,275,608,2018
3959,1,Alabama,37,Coosa County,11,7,228,264,492,2018
3960,1,Alabama,37,Coosa County,11,8,280,256,536,2018
3961,1,Alabama,37,Coosa County,11,9,305,293,598,2018
3962,1,Alabama,37,Coosa County,11,10,359,422,781,2018
3963,1,Alabama,37,Coosa County,11,11,413,370,783,2018
3964,1,Alabama,37,Coosa County,11,12,462,505,967,2018
3965,1,Alabama,37,Coosa County,11,13,525,436,961,2018
3966,1,Alabama,37,Coosa County,11,14,395,390,785,2018
3967,1,Alabama,37,Coosa County,11,15,303,359,662,2018
3968,1,Alabama,37,Coosa County,11,16,242,233,475,2018
3969,1,Alabama,37,Coosa County,11,17,126,163,289,2018
3970,1,Alabama,37,Coosa County,11,18,101,169,270,2018
4162,1,Alabama,39,Covington County,11,1,1111,1092,2203,2018
4163,1,Alabama,39,Covington County,11,2,1180,1055,2235,2018
4164,1,Alabama,39,Covington County,11,3,1161,1132,2293,2018
4165,1,Alabama,39,Covington County,11,4,1069,1035,2104,2018
4166,1,Alabama,39,Covington County,11,5,941,921,1862,2018
4167,1,Alabama,39,Covington County,11,6,1182,1143,2325,2018
4168,1,Alabama,39,Covington County,11,7,957,1060,2017,2018
4169,1,Alabama,39,Covington County,11,8,994,1083,2077,2018
4170,1,Alabama,39,Covington County,11,9,957,995,1952,2018
4171,1,Alabama,39,Covington County,11,10,1121,1105,2226,2018
4172,1,Alabama,39,Covington County,11,11,1147,1256,2403,2018
4173,1,Alabama,39,Covington County,11,12,1349,1389,2738,2018
4174,1,Alabama,39,Covington County,11,13,1335,1426,2761,2018
4175,1,Alabama,39,Covington County,11,14,1091,1185,2276,2018
4176,1,Alabama,39,Covington County,11,15,955,1095,2050,2018
4177,1,Alabama,39,Covington County,11,16,637,821,1458,2018
4178,1,Alabama,39,Covington County,11,17,393,634,1027,2018
4179,1,Alabama,39,Covington County,11,18,316,663,979,2018
4371,1,Alabama,41,Crenshaw County,11,1,410,388,798,2018
4372,1,Alabama,41,Crenshaw County,11,2,468,416,884,2018
4373,1,Alabama,41,Crenshaw County,11,3,457,457,914,2018
4374,1,Alabama,41,Crenshaw County,11,4,440,410,850,2018
4375,1,Alabama,41,Crenshaw County,11,5,367,390,757,2018
4376,1,Alabama,41,Crenshaw County,11,6,436,456,892,2018
4377,1,Alabama,41,Crenshaw County,11,7,359,390,749,2018
4378,1,Alabama,41,Crenshaw County,11,8,384,424,808,2018
4379,1,Alabama,41,Crenshaw County,11,9,380,397,777,2018
4380,1,Alabama,41,Crenshaw County,11,10,428,443,871,2018
4381,1,Alabama,41,Crenshaw County,11,11,407,489,896,2018
4382,1,Alabama,41,Crenshaw County,11,12,520,497,1017,2018
4383,1,Alabama,41,Crenshaw County,11,13,475,507,982,2018
4384,1,Alabama,41,Crenshaw County,11,14,394,452,846,2018
4385,1,Alabama,41,Crenshaw County,11,15,345,414,759,2018
4386,1,Alabama,41,Crenshaw County,11,16,201,221,422,2018
4387,1,Alabama,41,Crenshaw County,11,17,119,180,299,2018
4388,1,Alabama,41,Crenshaw County,11,18,84,219,303,2018
4580,1,Alabama,43,Cullman County,11,1,2588,2574,5162,2018
4581,1,Alabama,43,Cullman County,11,2,2584,2530,5114,2018
4582,1,Alabama,43,Cullman County,11,3,2729,2491,5220,2018
4583,1,Alabama,43,Cullman County,11,4,2577,2459,5036,2018
4584,1,Alabama,43,Cullman County,11,5,2359,2240,4599,2018
4585,1,Alabama,43,Cullman County,11,6,2878,2912,5790,2018
4586,1,Alabama,43,Cullman County,11,7,2588,2392,4980,2018
4587,1,Alabama,43,Cullman County,11,8,2478,2468,4946,2018
4588,1,Alabama,43,Cullman County,11,9,2567,2510,5077,2018
4589,1,Alabama,43,Cullman County,11,10,2616,2642,5258,2018
4590,1,Alabama,43,Cullman County,11,11,2784,2658,5442,2018
4591,1,Alabama,43,Cullman County,11,12,2864,2928,5792,2018
4592,1,Alabama,43,Cullman County,11,13,2723,2857,5580,2018
4593,1,Alabama,43,Cullman County,11,14,2314,2558,4872,2018
4594,1,Alabama,43,Cullman County,11,15,1935,2270,4205,2018
4595,1,Alabama,43,Cullman County,11,16,1339,1677,3016,2018
4596,1,Alabama,43,Cullman County,11,17,792,1111,1903,2018
4597,1,Alabama,43,Cullman County,11,18,530,920,1450,2018
4789,1,Alabama,45,Dale County,11,1,1651,1617,3268,2018
4790,1,Alabama,45,Dale County,11,2,1628,1490,3118,2018
4791,1,Alabama,45,Dale County,11,3,1521,1463,2984,2018
4792,1,Alabama,45,Dale County,11,4,1505,1429,2934,2018
4793,1,Alabama,45,Dale County,11,5,1716,1473,3189,2018
4794,1,Alabama,45,Dale County,11,6,2001,1823,3824,2018
4795,1,Alabama,45,Dale County,11,7,1688,1685,3373,2018
4796,1,Alabama,45,Dale County,11,8,1418,1521,2939,2018
4797,1,Alabama,45,Dale County,11,9,1302,1432,2734,2018
4798,1,Alabama,45,Dale County,11,10,1418,1536,2954,2018
4799,1,Alabama,45,Dale County,11,11,1442,1507,2949,2018
4800,1,Alabama,45,Dale County,11,12,1565,1708,3273,2018
4801,1,Alabama,45,Dale County,11,13,1487,1660,3147,2018
4802,1,Alabama,45,Dale County,11,14,1289,1314,2603,2018
4803,1,Alabama,45,Dale County,11,15,971,1204,2175,2018
4804,1,Alabama,45,Dale County,11,16,674,903,1577,2018
4805,1,Alabama,45,Dale County,11,17,409,608,1017,2018
4806,1,Alabama,45,Dale County,11,18,338,560,898,2018
4998,1,Alabama,47,Dallas County,11,1,1149,1186,2335,2018
4999,1,Alabama,47,Dallas County,11,2,1230,1202,2432,2018
5000,1,Alabama,47,Dallas County,11,3,1385,1318,2703,2018
5001,1,Alabama,47,Dallas County,11,4,1338,1304,2642,2018
5002,1,Alabama,47,Dallas County,11,5,1130,1239,2369,2018
5003,1,Alabama,47,Dallas County,11,6,1082,1302,2384,2018
5004,1,Alabama,47,Dallas County,11,7,975,1124,2099,2018
5005,1,Alabama,47,Dallas County,11,8,980,1219,2199,2018
5006,1,Alabama,47,Dallas County,11,9,876,1171,2047,2018
5007,1,Alabama,47,Dallas County,11,10,943,1164,2107,2018
5008,1,Alabama,47,Dallas County,11,11,1122,1293,2415,2018
5009,1,Alabama,47,Dallas County,11,12,1262,1582,2844,2018
5010,1,Alabama,47,Dallas County,11,13,1281,1532,2813,2018
5011,1,Alabama,47,Dallas County,11,14,1073,1226,2299,2018
5012,1,Alabama,47,Dallas County,11,15,817,1022,1839,2018
